Framenum, Queue Density, Dynamic Density
845, 0.598576, 0
848, 0.602871, 0.00373848
851, 0.603745, 0
854, 0.604395, 0.001254
857, 0.602491, 0.00417738
860, 0.601041, 0.0077787
863, 0.602949, 0
866, 0.602863, 0.0064189
869, 0.601354, 0.00465546
872, 0.597753, 0
875, 0.600461, 0.0019437
878, 0.602173, 0
881, 0.597404, 0.00383645
884, 0.599802, 0.00292338
887, 0.600433, 0.00656389
890, 0.601848, 0.00534908
893, 0.604031, 0.00596824
896, 0.60637, 0.00739858
899, 0.607569, 0.00565474
902, 0.607558, 0.00199856
905, 0.601503, 0
908, 0.604721, 0.00337404
911, 0.60601, 0.00649335
914, 0.604121, 0.0141937
917, 0.601535, 0.0109372
920, 0.594116, 0.00343674
923, 0.594238, 0.00561556
926, 0.593752, 0.00121089
929, 0.595849, 0.00616418
932, 0.591005, 0.00279798
935, 0.593047, 0.0032408
938, 0.598595, 0.00918161
941, 0.605931, 0.013312
944, 0.606347, 0.0081549
947, 0.608612, 0.00372672
950, 0.610136, 0
953, 0.61032, 0.00105806
956, 0.60264, 0
959, 0.605171, 0.00323296
962, 0.605747, 0.00268826
965, 0.607354, 0.00275096
968, 0.608855, 0
971, 0.612339, 0.00801382
974, 0.61398, 0.0100124
977, 0.616116, 0.00916594
980, 0.611449, 0.0164861
983, 0.61351, 0.0118307
986, 0.614031, 0.00515706
989, 0.612527, 0.00287636
992, 0.610846, 0.00276271
995, 0.611328, 0.00338187
998, 0.611555, 0.00364051
1001, 0.611578, 0.00418913
1004, 0.612668, 0.00774735
1007, 0.603447, 0.00270393
1010, 0.604975, 0.0339363
1013, 0.600892, 0.0118111
1016, 0.601072, 0.0159963
1019, 0.601946, 0.0199973
1022, 0.602475, 0.0114623
1025, 0.602307, 0.0175951
1028, 0.601252, 0.00778262
1031, 0.600085, 0.012779
1034, 0.601531, 0.0164783
1037, 0.592341, 0.00732413
1040, 0.594814, 0.0205342
1043, 0.595978, 0.0179008
1046, 0.597197, 0.014758
1049, 0.597949, 0.0187629
1052, 0.597302, 0.0116034
1055, 0.596295, 0.0149382
1058, 0.596585, 0.0150166
1061, 0.587337, 0.00789626
1064, 0.589277, 0.0119169
1067, 0.591232, 0.0122735
1070, 0.590433, 0.0107569
1073, 0.591746, 0.0118699
1076, 0.593231, 0.00981645
1079, 0.593779, 0.0112507
1082, 0.593748, 0.0145816
1085, 0.594156, 0.016878
1088, 0.591013, 0.0129397
1091, 0.594469, 0.0177441
1094, 0.598023, 0.016976
1097, 0.598478, 0.0162471
1100, 0.599101, 0.0183593
1103, 0.599391, 0.022666
1106, 0.598204, 0.0153693
1109, 0.600488, 0.0153262
1112, 0.59358, 0.0146561
1115, 0.594085, 0.0125713
1118, 0.593105, 0.0155378
1121, 0.592945, 0.0159806
1124, 0.594775, 0.0182457
1127, 0.595331, 0.0249545
1130, 0.596863, 0.0332544
1133, 0.596264, 0.0367735
1136, 0.58673, 0.0304878
1139, 0.587106, 0.0339128
1142, 0.590492, 0.024065
1145, 0.590221, 0.0265808
1148, 0.594352, 0.0275605
1151, 0.59392, 0.0298373
1154, 0.59405, 0.0253151
1157, 0.596315, 0.029708
1160, 0.598862, 0.0340343
1163, 0.589637, 0.0341283
1166, 0.589868, 0.0364678
1169, 0.590041, 0.0328312
1172, 0.591158, 0.02691
1175, 0.591287, 0.0253072
1178, 0.592663, 0.0238573
1181, 0.593184, 0.0213062
1184, 0.592666, 0.0225719
1187, 0.588011, 0.0207419
1190, 0.587102, 0.0203148
1193, 0.587674, 0.014225
1196, 0.589441, 0.0127242
1199, 0.589273, 0.00855069
1202, 0.589841, 0.00845272
1205, 0.590186, 0.00853894
1208, 0.591068, 0.00630525
1211, 0.582529, 0.00331917
1214, 0.586479, 0.00389523
1217, 0.587474, 0.00226503
1220, 0.588567, 0.000689698
1223, 0.586577, 0.00548624
1226, 0.58825, 0.0118973
1229, 0.58977, 0.0184847
1232, 0.591573, 0.0255933
1235, 0.594011, 0.0342028
1238, 0.588129, 0.0251818
1241, 0.593399, 0.0272979
1244, 0.594696, 0.0299823
1247, 0.596573, 0.0248017
1250, 0.59646, 0.0244294
1253, 0.594704, 0.0167761
1256, 0.593, 0.0159414
1259, 0.593094, 0.0174541
1262, 0.586012, 0.00978118
1265, 0.586357, 0.0103612
1268, 0.586871, 0.0129514
1271, 0.589367, 0.0128025
1274, 0.592169, 0.0130494
1277, 0.594681, 0.0220939
1280, 0.59586, 0.0261615
1283, 0.593944, 0.0216314
1286, 0.593407, 0.0259264
1289, 0.597357, 0.0141388
1292, 0.599399, 0.0228149
1295, 0.600825, 0.0353235
1298, 0.601221, 0.0319456
1301, 0.601162, 0.0344457
1304, 0.60126, 0.0233439
1307, 0.599258, 0.0189706
1310, 0.59664, 0.0229168
1313, 0.589375, 0.0264907
1316, 0.589261, 0.0239435
1319, 0.58912, 0.0166546
1322, 0.591373, 0.0122461
1325, 0.593466, 0.0121834
1328, 0.595221, 0.0132924
1331, 0.595186, 0.0117797
1334, 0.593646, 0.0130964
1337, 0.58419, 0.0128574
1340, 0.587306, 0.0110783
1343, 0.588748, 0.0167683
1346, 0.58999, 0.0202912
1349, 0.593583, 0.0288223
1352, 0.596299, 0.0323374
1355, 0.599513, 0.0359701
1358, 0.603177, 0.0371536
1361, 0.592898, 0.0348219
1364, 0.593732, 0.0351864
1367, 0.594399, 0.0310599
1370, 0.590574, 0.0290457
1373, 0.588893, 0.0233831
1376, 0.586976, 0.017603
1379, 0.585048, 0.0145895
1382, 0.580534, 0.0084057
1385, 0.578547, 0.0143622
1388, 0.569279, 0.0064816
1391, 0.568805, 0.00656389
1394, 0.569393, 0.00637579
1397, 0.574299, 0.00777086
1400, 0.575549, 0.0098282
1403, 0.575694, 0.00479654
1406, 0.576404, 0.00552542
1409, 0.575898, 0.00245705
1412, 0.567308, 0.00437723
1415, 0.568652, 0.00470641
1418, 0.570537, 0.0150558
1421, 0.573402, 0.0169877
1424, 0.576713, 0.017842
1427, 0.579927, 0.0538513
1430, 0.586945, 0.057194
1433, 0.595805, 0.0872586
1436, 0.589966, 0.0856206
1439, 0.598513, 0.122018
1442, 0.607154, 0.140283
1445, 0.615462, 0.159489
1448, 0.618738, 0.17293
1451, 0.621759, 0.175034
1454, 0.621579, 0.189546
1457, 0.621022, 0.204041
1460, 0.616814, 0.216773
1463, 0.59981, 0.221722
1466, 0.599712, 0.270687
1469, 0.596675, 0.283627
1472, 0.592361, 0.316074
1475, 0.585993, 0.306924
1478, 0.581686, 0.306779
1481, 0.583391, 0.305337
1484, 0.586287, 0.307425
1487, 0.572685, 0.311869
1490, 0.576294, 0.36449
1493, 0.576584, 0.367934
1496, 0.570267, 0.374498
1499, 0.570428, 0.391388
1502, 0.579476, 0.413517
1505, 0.578622, 0.403293
1508, 0.578532, 0.408133
1511, 0.571329, 0.384856
1514, 0.572928, 0.398712
1517, 0.555572, 0.397337
1520, 0.546613, 0.403113
1523, 0.535461, 0.401369
1526, 0.529751, 0.401393
1529, 0.525182, 0.393128
1532, 0.518704, 0.397247
1535, 0.516831, 0.393414
1538, 0.502829, 0.380549
1541, 0.501254, 0.390546
1544, 0.495207, 0.382724
1547, 0.489306, 0.418126
1550, 0.480896, 0.428859
1553, 0.48902, 0.430121
1556, 0.501321, 0.444573
1559, 0.497782, 0.448132
1562, 0.48786, 0.452987
1565, 0.490231, 0.463575
1568, 0.483106, 0.460527
1571, 0.487448, 0.467604
1574, 0.495446, 0.47271
1577, 0.497347, 0.4732
1580, 0.497911, 0.473341
1583, 0.493197, 0.471961
1586, 0.474881, 0.452426
1589, 0.481261, 0.472032
1592, 0.482189, 0.494565
1595, 0.483769, 0.512364
1598, 0.48581, 0.52305
1601, 0.489223, 0.534791
1604, 0.495321, 0.533372
1607, 0.502688, 0.540293
1610, 0.487374, 0.518308
1613, 0.467439, 0.4919
1616, 0.460068, 0.487727
1619, 0.461165, 0.469763
1622, 0.457482, 0.462298
1625, 0.460585, 0.460938
1628, 0.446827, 0.467259
1631, 0.426739, 0.48349
1634, 0.409371, 0.480837
